title,publisher_id,valuable,Count,id
Alexander the Great,147,f,,992
Test of Fire: Bull Run 1861,147,f,,993
Giza: The Great Pyramid,147,f,,994
Attack!,61,f,,995
China Rails,147,f,,996
Callisto,226,f,,997
Bazaar: Special Edition,258,f,,998
"First World War, The",147,f,,999
Eurorails,147,f,,1000
GIPF Project Set 2,57,f,,1001
GIPF Project Set 3,57,f,,1002
Nippon Rails,147,f,,1003
India Rails,147,f,,1004
Eco Fluxx,138,f,,1354
Before the Wind,147,f,,1006
Italia,147,f,,1007
Liberty: The American Revolution 1775-83,47,f,,1008
Russian Rails,147,f,,1009
Quirky,68,f,,1010
Texas Glory: 1835-36,47,f,,1011
Nanuk,202,f,,1355
Dragon Valley,255,f,,1013
Pluckin' Pairs,182,f,,1014
HeroCard Cyberspace,211,f,,1015
Ticket to Ride: Dice Expansion,54,f,,1017
The A Maze Ing Labyrinth,183,f,,1018
Dino Hunt Dice,202,f,,1020
"Risk, Starcraft",224,f,,1021
Lunch Money: Sticks & Stones,14,f,,1022
Gloom: Unhappy Homes,14,f,,1023
Gloom: Unwelcome Guests,14,f,,1024
Gloom: Unfortunate Expeditions,14,f,,1025
Zen Garden,147,f,,1026
Road Rally USA,147,f,,1027
Global Mogul,147,f,,1028
Catan Histories: Settlers Of America Trails To Rails,147,f,,1358
Tannhauser,70,f,,1359
Borogove,253,f,,1034
Dominion: Hinterlands,185,f,,1035
"House Divided, A: The American Civil War 1861-1865",147,f,,1037
Race for the Galaxy: The Gathering Storm,185,f,,1038
Pathfinder Adventure Card Game: Rise Of The Runelords Base Set,164,f,,1360
Quarriors: Rise of the Demons,260,f,,1040
X-wing Miniatures Game,70,f,,1361
Quarriors: Quarmageddon,260,f,,1042
Race for the Galaxy: Rebel vs. Imperium,185,f,,1043
"Totally Insane Card Game, The",219,f,,1047
Baffler. The,40,f,,1048
"Win, Lose, or Banana!",11,f,,1049
"Trump, Tricks, Game!",147,f,,1050
Lowenherz,185,f,,1362
Ticket to Ride Map Collection: Volume 2 - India & Switzerland,54,f,,1052
Pandante,195,f,,1363
World Series of Yahtzee,110,f,,1054
Colorforms,226,f,,1055
Pandant,195,f,,1364
To The Edge of The World,256,f,,1057
To The Edge of the World,259,f,,1058
Motta,11,f,,1365
Catacombs,368,f,,1366
Legends Of The American Frontier,262,f,,1367
Pass-Ack Words,182,f,,1062
Who Would Win,91,f,,1063
Skyway Robbery,262,f,,1368
Sort It Out,226,f,,1065
Treehouse,139,f,,1066
Double Take,182,f,,1067
Area 1851,262,f,,1369
Time's Up!,182,f,,1069
Take It or Leave It,91,f,,1070
Sangoku,262,f,,1370
Ratuki,224,f,,1073
"Memory, Super Mario",224,f,,1074
Clubs,158,f,,1075
Bane,257,f,,1076
Cross Ways,224,f,,1077
Australian Rails,147,f,,1079
Chaos,246,f,,148
Draco Mundis,112,f,,237
Mad War,56,f,,488
Paiko,242,f,,594
10 days in asia,162,f,,1
1st & Goal,182,f,,2
3:16 Carnage Amogst the Stars,24,f,,4
The Princess Bride: Miracle Pill,262,f,,1372
7Wonders,184,f,,7
A Castle For All Seasons,185,f,,8
A Castle for All Seasons,185,f,,9
A Conclave of Wyrms,246,f,,10
A Game of Thrones,70,f,,11
A Game of Thrones: Card Game,70,f,,12
A Game of Thrones: Living Card Game,70,f,,13
A Game of Thrones: The Board Game,70,f,,14
A Party Game of Curses,27,f,,15
A Touch of Evil: The Supernatural Game,74,f,,16
Aargh!,193,f,,17
Ablaze!,147,f,,18
Ace Detective,1,f,,19
Acquire,15,f,,20
Mouse Guard: Swords & Strongholds,369,f,,1371
The Princess Bride: As You Wish,262,f,,1373
Monopoly,166,f,,528
Age of Discovery,147,f,,22
Age of Napoleon,172,f,,23
Alchemist,147,f,,25
Alhambra,179,f,,26
Alien Labyrinth,48,f,,28
Alpha Omega: Core Rulebook,151,f,,29
Amazing Labyrinth,183,f,,30
Amuse Amaze,108,f,,31
Anasazi,147,f,,32
Android,70,f,,33
Anima Shadow of Omega,70,f,,34
Anti-Monopoly,226,f,,35
Apocalypse World,141,f,,36
Apples to Apples,110,f,,37
Apples to Apples: Party Box Expansion 1,162,f,,39
Appletters,17,f,,40
Aquaretto,185,f,,41
Aquarius,138,f,,42
Arcana,192,f,,43
Are You a Werewolf?,138,f,,44
Are You the Traitor?,138,f,,45
Are you the Traitor?,138,f,,46
Argue,178,f,,47
Arkham Horror,70,f,,48
At the Gates of Loyang,109,f,,54
Atlantis,147,f,,55
Atlantis Treasure,129,f,,56
Attika,185,f,,57
Automobile,147,f,,58
Awkward Moment,217,f,,59
Axis & Allies,15,f,,60
BRAWL,42,f,,63
Bacchus' Banquet,147,f,,64
Dungeon Scroll,262,f,,1376
Balance of Power,37,f,,66
Bang,53,f,,68
Barca,30,f,,69
Batleship Galaxies,110,f,,70
Batt'l Kha'os,246,f,,71
Lightning Dice,370,f,,1377
Battle Cry,239,f,,73
Battle Cry: 150th Civil War Anniversary,15,f,,74
Battle Line,83,f,,75
Battles of Westeros,70,f,,76
Battleship Galaxies,110,f,,77
Battletech,71,f,,79
Bazaar,105,f,,80
Bears!,72,f,,81
Bedlamb,11,f,,82
Beer Money,14,f,,83
"Before I Kill You, Mister Bond",42,f,,84
Befuzzled,78,f,,85
Monarch,371,f,,1378
Bell-Bottomed Baddassses on the Mean Streets of Funk,246,f,,87
Betrayal at House on the Hill,15,f,,88
Pixel Glory,372,f,,1379
Big Boggle,237,f,,90
Big Idea,42,f,,91
Bill of Rights,28,f,,92
Blokus,62,f,,93
Blokus Trigon,62,f,,94
Quilt Show,185,f,,1380
Bloodsuckers,72,f,,97
