"2023","Cooperative Game"
"2072","Dice Rolling"
"2882","Elapsed Real Time Ending"
"2831","Real-Time"
"2082","Worker Placement"
"2040","Hand Management"
"2685","Player Elimination"
"2661","Push Your Luck"
"2019","Team-Based Game"
"2017","Voting"
"2015","Variable Player Powers"
"2041","Card Drafting"
"2079","Variable Phase Order"
"2060","Pattern Recognition"
"2004","Set Collection"
"2871","Kill Steal"
"2823","Score-and-Reset Game"
"2020","Simultaneous Action Selection"
"2984","Drafting"
"2884","Sudden Death Ending"
"2888","Tug of War"
"2839","Action Retrieval"
"2850","Events"
"2039","Line Drawing"
"2028","Role Playing"
"2866","Targeted Clues"
"2903","Automatic Resource Growth"
"2978","Grid Coverage"
"2902","Income"
"2819","Solo / Solitaire Game"
"2002","Tile Placement"
"2830","Turn Order: Pass Order"
"2011","Modular Board"
"2081","Network and Route Building"
"2008","Trading"
"2080","Area Majority / Influence"
"2664","Deck, Bag, and Pool Building"
"2078","Point to Point Movement"
"2012","Auction/Bidding"
"2014","Betting and Bluffing"
"2987","Hidden Victory Points"
"2851","Narrative Choice / Paragraph"
"2027","Storytelling"
"2933","Worker Placement, Different Worker Types"
"2048","Pattern Building"
"2676","Grid Movement"
"2046","Area Movement"
"2001","Action Points"
"2847","Advantage Token"
"2043","Enclosure"
"2914","Increase Value of Unchosen Resources"
"2829","Turn Order: Claim Action"
"2935","Worker Placement with Dice Workers"
"2686","Take That"
"2912","Contracts"
"2016","Secret Unit Deployment"
"2841","Command Cards"
"2967","Hidden Movement"
"2865","Player Judge"
"2663","Time Track"
"2820","Semi-Cooperative Game"
"2853","Stat Check Resolution"
"2891","Hidden Roles"
"2892","Roles with Asymmetric Information"
"2814","Traitor Game"
"2875","End Game Bonuses"
"2838","Action Drafting"
"2826","Turn Order: Stat-Based"
"2897","Variable Setup"
"2857","Card Play Conflict Resolution"
"2846","Once-Per-Game Abilities"
"2953","Programmed Movement"
"2003","Rock-Paper-Scissors"
"2939","Track Movement"
"2689","Action Queue"
"2035","Roll / Spin and Move"
"2813","Rondel"
"2959","Map Addition"
"2889","Highest-Lowest Scoring"
"2919","Auction: Turn Order Until Pass"
"2013","Commodity Speculation"
"2957","Bias"
"3005","Slide/Push"
"2009","Trick-taking"
"2856","Die Icon Resolution"
"2007","Pick-up and Deliver"
"2849","Tech Trees / Tech Tracks"
"2047","Memory"
"2057","Chit-Pull System"
"2055","Paper-and-Pencil"
"2915","Negotiation"
"2965","Multiple Maps"
"2940","Square Grid"
"2944","Three Dimensional Movement"
"2893","Communication Limits"
"2070","Simulation"
"2999","Bingo"
"2906","I Cut, You Choose"
"2860","Flicking"
"2026","Hexagon Grid"
"2876","Race"
"2909","Random Production"
"2988","Stacking and Balancing"
"2911","Ownership"
"2980","Ladder Climbing"
"2005","Stock Holding"
"2900","Market"
"2828","Turn Order: Progressive"
"2947","Movement Points"
"2958","Moving Multiple Units"
"2922","Constrained Bidding"
"3002","Deduction"
"2904","Loans"
"2827","Turn Order: Auction"
"2981","Melding and Splaying"
"2073","Acting"
"2858","Prisoner's Dilemma"
"2975","Line of Sight"
"2822","Scenario / Mission / Campaign Game"
"2916","Alliances"
"2837","Interrupts"
"2901","Delayed Purchase"
"2989","Physical Removal"
"2824","Legacy Game"
"2870","Re-rolling and Locking"
"2864","Force Commitment"
"2990","Cube Tower"
"2874","Victory Points as a Resource"
"3000","Hot Potato"
"2955","Mancala"
"2920","Auction: Sealed Bid"
"2926","Selection Order Bid"
"2960","Map Reduction"
"2950","Different Dice Movement"
"2954","Relative Movement"
"2913","Bribery"
"2018","Campaign / Battle Card Driven"
"3001","Layering"
"2836","Lose a Turn"
"2887","Catch the Leader"
"2991","Speed Matching"
"2927","Multiple-Lot Auction"
"2885","Finale Ending"
"2886","King of the Hill"
"2956","Chaining"
"2834","Action Timer"
"3007","Matching"
"2961","Map Deformation"
"2821","Single Loser Game"
"2918","Auction: English"
"2923","Auction: Once Around"
"2038","Singing"
"2843","Follow"
"2962","Move Through Deck"
"2946","Pattern Movement"
"2861","Static Capture"
"2833","Turn Order: Role Order"
"2840","Action/Event"
"2021","Area-Impulse"
"2948","Resource to Move"
"3004","Deck Construction"
"2854","Critical Hits and Failures"
"2855","Ratio / Combat Results Table"
"2928","Closed Economy Auction"
"2924","Auction: Dutch"
"2883","Connections"
"2949","Measurement Movement"
"3003","Induction"
